PCO_NUM,PCO_TITLE,PCO_LINK,PCO_DESC,PCO_AUTHOR ,PCO_METHOD,PCO_LENGTH,PCO_TAG
40,6 Good Reasons to Get Renter's Insurance,https://www.investopedia.com/articles/personal-finance/082714/6-good-reasons-get-renters-insurance.asp,Do you or someone you know rent their home? Learn how to best protect yourself ,Investopedia,Article,5 min,Insurance
41,What is Healh Insurance,https://www.medicalnewstoday.com/articles/323367,We've all heard of health insurance but what exactly is it and why is important?,MedicalNewsToday,Article,7 min,Insurance
42,How Does Life Insurance Work?,https://www.forbes.com/advisor/life-insurance/how-it-works/,Are you dependent on anyone or anyone dependent on you? Learn more about why life insurance is so important,Forbes,Article,8 min,Insurance
43,"What is Homeowners Insurance, and What Does It Cover? ",https://www.nerdwallet.com/article/insurance/understanding-homeowners-insurance,The majority of people at one point in their life own a home. Learn how to best protect yourself.,Nerdwallet,Article,10 min,Insurance
44,Disability Insurance: What it is and why you need it,https://www.guardianlife.com/disability-insurance/need,Never heard of Disability Insurance? Learn why it is important,Guardian,Article,8 min,Insurance
45,Long-Term Care Insurance Explained,https://www.nerdwallet.com/article/insurance/long-term-care-insurance,How will you take care of yourself later in life? Learn why Long-Term Care Insurance is critical ,Nerdwallet,Article,6 min,Insurance
46,"What is Umbrella Insurance, and How Does It Work? ",https://www.nerdwallet.com/article/insurance/umbrella-insurance,Can umbrella Insurance help you avoid financial ruin? Read to find out,Nerdwallet,Article,8 min,Insurance
47,Insurance 101: Personal Umbrella Policy,https://www.youtube.com/watch?v=FMRfWyorCFE,"Life is risky, learn how to reduce that risk with a personal umbrella policy",Centralinsurnace,Video,2 min,Insurance
48,5 Ways to Lower Insurance Premiums,https://www.lgfcu.org/personal-finance/5-ways-to-lower-insurance-premiums,Insurance can be expensive so learn how to lower your costs,Local Government Federal Credit Union,Article,2 min,Insurance
49,15 Tips and Ideas For Cutting Car Insurance Costs,https://www.investopedia.com/articles/pf/08/car-insurance-costs.asp,Do you feel your car insurance is too expensive? Learn how to cut your costs,Investopedia,Article,7 min,Insurance
50,9 Ways to Lower Homeowners Insurance Rates,https://www.nerdwallet.com/article/insurance/save-on-homeowners-insurance,Learn how to take advantage of lesser-known homeowners insurance discounts,Nerdwallet,Article,8 min,Insurance
51,Insurance Explained,https://www.youtube.com/watch?v=qjXgpJpSlCc,Have you ever wondered how Insurance companies make money or how they work?,The Infographics Show,Video,7 min,Insurance
52,Insurance 101 - Personal Auto Coverages,https://www.youtube.com/watch?v=CBmtFPMUcr0,Do you or anyone you know drive a car? Learn how to protect yourself with auto insurance,Centralinsurnace,Video,3 min,Insurance
53,Understanding Your Health Insurance Costs,https://www.youtube.com/watch?v=DBTmNm8D-84,We all have health issues. Learn how to not go broke while dealing with health related problems,Consumer Reports,Video,5 min,Insurance
54,When Does Whole Life Insurance Make Sense?,https://www.youtube.com/watch?v=ed7IIE9pRW4,Learn when it makes sense for you to get life insurance,The Money Guy Show,Video,5 min,Insurance
55,Types of Life Insurance Explained,https://www.youtube.com/watch?v=YPpdpjZ5yEw,Life insurance can be neccesary for all of us. Discover the different types and which one makes the most sense for you,AccuQuote Life Insurance,Video,5 min,Insurance
56,If You Own A Home You Need To Do This TODAY,https://www.youtube.com/watch?v=1daEJbDwCQY,65% of Americans own homes. If that is you learn how to protect yourself and your home,The Ramsey Show,Video,6 min,Insurance
57,What is Disability Insurance and Do You Need It?,https://www.youtube.com/watch?v=z1BUieUaAUs,What is Disability Insurance and do I ever need it? Learn more here,The Money Guy Show,Video,8 min,Insurance
58,Is Long Term Care Insurance a Good Product and When Should You Get It?,https://www.youtube.com/watch?v=X4rj4y6S_fw,Learn at what age you should begin thinking about long term care insurance,The Money Guy Show,Video,7 min,Insurance
59,Why Knowing your Net Worth is important,https://www.investopedia.com/articles/pf/13/importance-of-knowing-your-net-worth.asp,What is your net worth? Why is it important? How do I calculate my net worth? Learn about one of the most important personal finance terms,Investopedia,Article,4 min,Net Worth
60,5 Questions about Net Worth - Answered,https://money.usnews.com/money/personal-finance/saving-and-budgeting/articles/5-questions-about-net-worth-answered,Have you ever the heard the term net worth but not sure what it means? No worries we got you covered,U.S.News,Article,4 min,Net Worth
61,"The Average Net Worths of Americas - By Age, Education, and Ethnciity",https://www.forbes.com/advisor/investing/financial-advisor/average-net-worth/,Learn how your networth compares to the average American that is similar to you,Forbes,Article,5 min,Net Worth
62,Average American Net Worth by Age - How does yours compare? ,https://www.nerdwallet.com/article/finance/average-net-worth-by-age,Want to calculate your networth? Do so here and discover how your networth stacks up to the average,Nerdwallet,Article,4 min,Net Worth
63,Everything You Need to Know About Tracking Your Net Worth,https://smartmoneymamas.com/everything-you-need-to-know-about-tracking-net-worth/,Learn why tracking your net worth can be so beneficial to your financial future,Smart Money Mamas,Article,5 min,Net Worth
64,How to Increase Net Worth: 14 Best Ways to Grow Your Assets ,https://youngandtheinvested.com/how-to-increase-net-worth/,Tips for increasing your net worth - We go you covered.,Young and the Invested,Article,8 min,Net Worth
65,8 Steps to a Higher Net Worth in 2022,https://money.usnews.com/money/personal-finance/saving-and-budgeting/articles/steps-to-a-higher-net-worth,We all want a higher net worth so learn how to in just a few minutes,U.S.News,Article,4 min,Net Worth
66,Average Net Worth by Age in 2022,Average Net Worth By Age in 2022!,Take a deep dive into learning where your net worth compares and how to improve yours now,The money Guy Show,Video,55 min,Net Worth
67,How To Calculate Your Net Worth,https://www.youtube.com/watch?v=fVRosptffbk,Dave Ramsey shares his expertise on Net Worth,The Ramsey Show,Video,4 min,Net Worth
68,Average Net Worth by Age (Not What You'd Think),https://www.youtube.com/watch?v=ACZEzSDVoYo,Learn how you compare to other age brackets with your Net Worth,Chris Invests,Video,8 min,Net Worth
69,Why Your Net Worth Matters,https://www.youtube.com/watch?v=Q1LEbvFkEXU,Your Net Worth matters learn why,Steve Adock ,Video,4 min,Net Worth
70,How to Build a Multi-Million Dollar Net Worth,https://www.youtube.com/watch?v=Zwx1S4jGg24,Is becoming a multi-millionaire easy? ,The money Guy Show,Video,7 min,Net Worth
71,Investing 101: Investing Basics For Beginers,https://www.wealthsimple.com/en-ca/learn/investing-basics#real_estate_investing_basics,Here is a quick overview of some things to know for beginer investors,Wealthsimple,Article,8 min,Investing
72,How to Invest in Stocks: A Beginner's Guide,https://www.investopedia.com/articles/basics/06/invest1000.asp,"Do you want to begin investing in the Stock Market? Before you start, first learn some basics.",Investopedia,Article,8 min,Investing
73,What is the Stock Market,https://www.investopedia.com/terms/s/stockmarket.asp,Have you ever thought the stock market is too confusing? Read here for an easy and better understanding,Investopedia,Article,4 min,Investing
74,What is The Stock Market? How Does it Work? ,https://www.forbes.com/advisor/investing/what-is-the-stock-market/,Take a look into learning how the stock market works,Forbes,Article,4 min,Investing
75,Bond: Financial Meaning with Examples and How They Are Priced,https://www.investopedia.com/terms/b/bond.asp,What is bond? How can I invest in the bond market? Should I invest in the bond market? Learn the answers to these common questions here. ,Investopedia,Article,8 min,Investing
76,What Are Bonds and How Do They Work? ,https://www.nerdwallet.com/article/investing/what-is-a-bond,Have you ever been curious how bonds work? ,Nerdwallet,Article,4 min,Investing
77,Exchange-Traded Fund (ETF) Explanation with Pros and Cons,https://www.investopedia.com/terms/e/etf.asp,ETFs can be a confusing topic. Read here to learn everything you need to know,Investopedia,Article,10 min,Investing
78,The Importance of Starting to Invest Early in Life,https://www.youtube.com/watch?v=RzyY6Ykrcjo,If you are youg learn why investing NOW is so important,The money Guy Show,Video,5 min,Investing
79,Investing in Stock for Beginners,https://www.youtube.com/watch?v=Sbp_t4guM8g,Are you new to investing? Learn how to begin investing in the stock market,Proactive Thinker,Video,5 min,Investing
80,The Difference Between Trading and Investing,https://www.youtube.com/watch?v=dmqoqVwFopE,You have heard of trading. You have heard of investing. Learn what the difference between them are,The Plain Bagel,Video,10 min,Investing
81,How does the stock market work? ,https://www.youtube.com/watch?v=p7HKvqRI_Bo,You can't make money in the stock market if you don't understand how it works,TED-Ed,Video,4 min,Investing
82,Warren Buffett's 6 Rules Of Investing,https://www.youtube.com/watch?v=DlA2jMueIyc,Learn from the greatest investor of all time,The Better Men Project,Video,10 min,Investing
83,Warren Buffett: Why Most People Should Invest In S&P 500 Index ,https://www.youtube.com/watch?v=SzKlsWsWRRY,"Listen to the greatest investor of all time, Warren Buffett, and his advice for you ",null,Video,5 min,Investing
84,Investing Basics: Bonds,https://www.youtube.com/watch?v=IuyejHOGCro,What is a bond? How can I make money on a bond? Learn now.,TD Ameritrade,Video,4 min,Investing
85,What's the Difference Between Bonds and Stocks,https://www.youtube.com/watch?v=uI2vhCitTBw,Should I buy a bond? A stock? or both? Learn what the difference between them and what is best for you,TD Ameritrade,Video,3 min,Investing
86,The Best Ways to Invest in Your 20s ,https://www.youtube.com/watch?v=ZKyToaaM0xw,Are you in your 20s? Learn how to optimize your youth in your wealth building jounrey,Phil Town,Video,9 min,Investing
87,How Much You Need To Invest By EVERY Age in 2022,https://www.youtube.com/watch?v=p8Tm-3TFRE0,Do you know if you are financially ahead or behind your age group? ,Proactive Thinker,Video,9 min,Investing
88,Investing Basics: ETFs,https://www.youtube.com/watch?v=kqr-h-pmky4,Should you be investing in ETFs?,TD Ameritrade,Video,4 min,Investing
89,Mutual Funds: Different Types and How They Are Priced,https://www.investopedia.com/terms/m/mutualfund.asp,Should you be investing in Mutual Funds?,Investopedia,Article,8 min,Investing
90,Why Would Someone Choose a Mutual Fund Over a Stock?,https://www.investopedia.com/ask/answers/05/062305.asp,Have money to invest but not sure where to invest? ,Investopedia,Article,4 min,Investing
91,Investing Basics: Mutual Funds,https://www.youtube.com/watch?v=ngfKXvfzC74,Learn the basics of a Mutual Fund,TD Ameritrade,Video,5 min,Investing
92,Cash,https://www.investopedia.com/terms/c/cash.asp,Want to better understand cash?,Investopedia,Article,3 min,Investing
93,"Inflation: What It Is, How It Can Be Controlled, and Extreme Examples",https://www.investopedia.com/terms/i/inflation.asp,"Infaltion is everywhere in the news, but what is it? ",Investopedia,Article,8 min,Investing
94,What is Inflation?,https://www.youtube.com/watch?v=UMAELCrJxt0,Learn more about inflation and how it affects yo,The School of Life,Video,8 min,Investing
95,5 ways Rich People Make Money With Inflation,https://www.youtube.com/watch?v=xkSVFQa4f1U,Learn inflation strategies from the rich,Proactive Thinker,Video,10 min,Investing
96,How does raising interest rates control inflation?,https://www.youtube.com/watch?v=R8VBRCs2jTU,Learn from an economist POV about inflation ,The Economist,Video,8 min,Investing
97,Real Estate Investment Trusts (REIT): How They Work and How to Invest,https://www.investopedia.com/terms/r/reit.asp,Interested in Real Estate Investing but think it's too much work? ,Investopedia,Article,4 min,Investing
98,REIT Basics | Income Investing Course,https://www.youtube.com/watch?v=bjJtzdIq6nc,Learn The Basics of What REITs & If You Should Invest In Them,TD Ameritrade,Video,4 min,Investing
99,Investing in Real Estate Through REITs,https://www.youtube.com/watch?v=mPC9mtcYmqk,Learn how to diversify your investments with REITs,The Plain Bagel,Video,13 min,Investing
100,What is a Commodity and Understanding Its Role in the Stock Market,https://www.investopedia.com/terms/c/commodity.asp,What is a Commodity? Should you Invest in them? ,Investopedia,Article,5 min,Investing
101,Commodities Market For Beginners,https://www.youtube.com/watch?v=RzmLaXULZAw,What are commodities and why should you care? ,Edelweiss Wealth Management,Video,4 min,Investing
102,"11 Best Investment Accounts (Types for Begginers to use, 2022)",https://youngandtheinvested.com/best-investment-account-types/,So you know you need to begin investing? But what Account should you chose? Learn here what account is the best fit for you,Young and the Invested,Article,8 min,Investing
103,Traditional and Roth IRAs | Simple Steps for a Retirement Portfolio Course,https://www.youtube.com/watch?v=Z3I8TPYn4Z0,It is never too early to begin thinking about retirement. Find which retirement is the best option for you. ,TD Ameritrade,Video,4 min,Investing
104,RECESSION ALERT: The 5 Best Index Funds to Buy ASAP,https://www.youtube.com/watch?v=HBy-xP5aQyA,Graham shares his opinions on the best Index Funds in order to best prepare for a possible recession,Graham Stephan,Video,15 min,Investing
105,The 5 BEST Bank Account of 2022,https://www.youtube.com/watch?v=ghQUdGHQuKE,Want to learn how to earn the most interest on your money? Daniel shares his opinion on some of the best bank accounts to put your money in,Daniel Braun,Video,16 min,Investing
106,"Investing 101: Stocks, Bonds, 401K, Cash, Portfolios, Asset Allocation, ETC. ",https://www.youtube.com/watch?v=l4TzfPfLMB4,Take a quick crash course on investing,Smart Investing Trends,Video,7 min,Investing
107,S&P 500 Index Defined & Discussed,https://www.fool.com/investing/stock-market/indexes/sp-500/,Learn about what the S&P 500 is and how you can financially benefit from it,The Motley Fool,Article,5 min,Investing
108,How To Invest in the S&P 500,https://www.investopedia.com/ask/answers/how-can-i-buy-sp-500-fund/,"Investing in the S&P 500 is simple and it can make you wealthy, learn how. ",Investopedia,Article,7 min,Investing
109,"What's an Index? The Dow, S&P 500, and Nasdaq Explained",https://www.youtube.com/watch?v=WA3Jhvm4W9k,Learn about different indicies and how they work,TD Ameritrade,Video,3 min,Investing
110,Dow Jones: What It Is and Why It's Importnat in Stock Investing,https://www.investopedia.com/ask/answers/who-or-what-is-dow-jones/,Curious about investing in the Dow Jones? ,Investopedia,Article,5 min,Investing
111,What is the Dow Jones Industrial Average,https://www.youtube.com/watch?v=o3tbZ5MbZwo,Curious about investing in the Dow Jones? ,TD Ameritrade,Video,4 min,Investing
112,"What Nasdaq is, History, and Financial Performance",https://www.investopedia.com/terms/n/nasdaq.asp,Curious about investing in the Nasdaq? ,Investopedia,Article,3 min,Investing
113,What is the NASDAQ INdex and How Can You Trade it? ,https://www.youtube.com/watch?v=lpgUrFAhEC8,Curious about investing in the Nasdaq? ,Capital.com,Video,4 min,Investing
114,Dividends: Definition in Stocks and How Payments Work,https://www.investopedia.com/terms/d/dividend.asp,Learn about Dividends and How you can profit from them,Investopedia,Article,7 min,Investing
115,Investopedia Video: What is A Dividend?,https://www.youtube.com/watch?v=sP8uEdKVRvA,Learn about Dividends and How you can profit from them,Investopedia,Video,1 min,Investing
116,Dividend Basics,https://www.youtube.com/watch?v=wTCJfPtFvNM,Learn about Dividends and How you can profit from them,TD Ameritrade,Video,4 min,Investing
117,What is a Roth IRA?,https://www.investopedia.com/terms/r/rothira.asp,Learn about investing for your retirement with a Roth IRA,Investopedia,Article,8 min,Investing
118,Understanding a Traditional IRA vs. Other Retirement Accounts,https://www.investopedia.com/terms/t/traditionalira.asp,Become prepared for choosing your retirement account,Investopedia,Article,6 min,Investing
119,What Are Bonds and How Do They Work? ,https://www.youtube.com/watch?v=CSfZSjebnAY,The Money Guy Shares their investment accounts opinions,The Money Guy Show,Video,5 min,Investing
120,Roth IRA vs. Traditional IRA: Which is the BEST Option For You?,https://www.youtube.com/watch?v=OX-v56ef9AQ,Not sure which retirement account to choose? ,The Money Guy Show,Video,5 min,Investing
121,What is a 401(K) and How Does It Work? ,https://www.investopedia.com/terms/1/401kplan.asp,Do you have a 401K but have no idea how it works?,Investopedia,Article,5 min,Investing
122,What is a 401(K)?,https://www.youtube.com/watch?v=ss5yImerkhg,Do you have a 401K but have no idea how it works?,TD Ameritrade,Video,5 min,Investing
123,Seven 401K Mistakes,https://www.youtube.com/watch?v=q_bcnncEYW8,Listen to Chris to avoid some of the mistakes typical beginners make with their 401K,Chris Invests,Video,9 min,Investing
124,The Importance of Diversification,https://www.investopedia.com/investing/importance-diversification/,Why should you diversify your investments? ,Investopedia,Article,5 min,Investing
125,How Diversification Works,https://www.youtube.com/watch?v=Pmlsa5-ruMk,Why should you diversify your investments? ,The Plain Bagel,Video,11 min,Investing
126,11 Key Ways To Improve Your Money Mindset,https://www.clevergirlfinance.com/blog/how-you-can-improve-your-money-mindset/,You become wealthy in your mind well before you actually become wealthy. Adopt the same mindsets that wealthy have.,Clever Girl Finance,Article,4 min,Mindset
127,How To Change Your Money Mindset,https://www.ramseysolutions.com/budgeting/understanding-your-money-mindset,Changing your money mindset is the first step in your wealth building jounrey,Ramsey Solutions,Article,9 min,Mindset
128,Your Mindset Is Everything When It Comes To Your Finances,https://www.forbes.com/sites/forbesfinancecouncil/2020/05/26/your-mindset-is-everything-when-it-comes-to-your-finances/?sh=5576f8164818,Is your mindset the most important aspect of achieving wealth? ,Forbes,Article,3 min,Mindset
129,"Everything You Need to Know About Cultivating a ""Wealth Mindset"" ",https://www.realsimple.com/work-life/money/wealth-mindset,Learn why you need to cultivate an abundance mindset,Real Simple,Article,5 min,Mindset
130,Can Money Buy Happiness? Financial Coaches Weigh in,https://www.realsimple.com/work-life/money/can-money-buy-happiness-financial-coaches-explain,Learn how money relates your happiness,Real Simple,Article,6 min,Mindset
131,4 Psychological Reasons That Could Be Behind Your Money Problems,https://www.realsimple.com/work-life/money/real-reasons-behind-money-problems,Are you having money problems?,Real Simple,Article,5 min,Mindset
132,How To Get Over Your Fear Of Money,https://www.realsimple.com/work-life/money/money-stress-fears-mindset,Do you fear money? Learn how these fears are impacting your wealth jounrey,Real Simple,Article,6 min,Mindset
133,How To Talk About Money As A Couple,https://www.realsimple.com/money/money-confidential-podcast/how-to-talk-about-money-as-a-couple,Is money a problem in your relationship? ,Real Simple,Article,7 min,Mindset
134,RICH VS. POOR MINDSET | An Eye Opening Interview With Robert Kiyosaki,https://www.youtube.com/watch?v=az6NibAUf7Y&t=315s,"Listen to the opinions of Robert Kiyosaki, Author of Rich Dad Poor Dad",Motiversity,Video,12 min,Mindset
135,MINDSET OF A MILLIONAIRE,https://www.youtube.com/watch?v=vub_38sYH_Y,How do the top 1% think?,Motiversity,Video,10 min,Mindset
136,The Seven Things You Need To Learn For Your Financial Freedom,https://www.youtube.com/watch?v=zNTNWQmf1DE,"Listen to the opinions of Robert Kiyosaki, Author of Rich Dad Poor Dad",The Rich Dad Channel,Video,18 min,Mindset
137,5 Things That Will Make You Wealthy,https://www.youtube.com/watch?v=x9ueaxf75SU,Dave Ramsey shares how to get wealthy ,The Ramsey Show,Video,8 min,Mindset
138,How To Convert a Liability Into an Asset,https://www.youtube.com/watch?v=A8vD_XO0vUU&t=563s,Financial Education with Robert Kiyosaki,The Rich Dad Channel,Video,14 min,Mindset
139,The Pyschology of Money,https://www.youtube.com/watch?v=9g1BfGpoK3E,Master Money by first understanding the pyschology of money,The Better Men Project,Video,13 min,Mindset
